Admission Type,Year,Admissions,Service Type,Hospital Admissions,Facility Type,Number of Beds
Public Sector Hospital Admissions,2020,453289,Polyclinics,5992676,Community Hospitals,2069
Public Sector Hospital Admissions,2020,453289,Polyclinics,5992676,Nursing Homes,16221
Public Sector Hospital Admissions,2020,453289,Dental Clinics,701924,Acute Hospitals,11545
Public Sector Hospital Admissions,2020,453289,Dental Clinics,701924,Psychiatric Hospitals,1950
Public Sector Hospital Admissions,2020,453289,Dental Clinics,701924,Community Hospitals,2069
Public Sector Hospital Admissions,2020,453289,Dental Clinics,701924,Nursing Homes,16221
Public Sector Hospital Admissions,2020,453289,Day Surgeries,313483,Acute Hospitals,11545
Public Sector Hospital Admissions,2020,453289,Day Surgeries,313483,Psychiatric Hospitals,1950
Public Sector Hospital Admissions,2020,453289,Day Surgeries,313483,Community Hospitals,2069
Public Sector Hospital Admissions,2020,453289,Day Surgeries,313483,Nursing Homes,16221
    National University Hospital,2020,62272,Acute Hospitals Admissions,556511,Acute Hospitals,11545
    National University Hospital,2020,62272,Acute Hospitals Admissions,556511,Psychiatric Hospitals,1950
    National University Hospital,2020,62272,Acute Hospitals Admissions,556511,Community Hospitals,2069
    National University Hospital,2020,62272,Acute Hospitals Admissions,556511,Nursing Homes,16221
    National University Hospital,2020,62272,Psychiatric Hospitals Admissions,8426,Acute Hospitals,11545
    National University Hospital,2020,62272,Psychiatric Hospitals Admissions,8426,Psychiatric Hospitals,1950
    National University Hospital,2020,62272,Psychiatric Hospitals Admissions,8426,Community Hospitals,2069
    National University Hospital,2020,62272,Psychiatric Hospitals Admissions,8426,Nursing Homes,16221
    National University Hospital,2020,62272,Community Hospitals Admissions,20852,Acute Hospitals,11545
    National University Hospital,2020,62272,Community Hospitals Admissions,20852,Psychiatric Hospitals,1950
    National University Hospital,2020,62272,Community Hospitals Admissions,20852,Community Hospitals,2069
    National University Hospital,2020,62272,Community Hospitals Admissions,20852,Nursing Homes,16221
    National University Hospital,2020,62272,Specialist Outpatient Clinics,4478648,Acute Hospitals,11545
    National University Hospital,2020,62272,Specialist Outpatient Clinics,4478648,Psychiatric Hospitals,1950
    National University Hospital,2020,62272,Specialist Outpatient Clinics,4478648,Community Hospitals,2069
    National University Hospital,2020,62272,Specialist Outpatient Clinics,4478648,Nursing Homes,16221
    National University Hospital,2020,62272,Accident & Emergency Departments,897402,Acute Hospitals,11545
    National University Hospital,2020,62272,Accident & Emergency Departments,897402,Psychiatric Hospitals,1950
    National University Hospital,2020,62272,Accident & Emergency Departments,897402,Community Hospitals,2069
    National University Hospital,2020,62272,Accident & Emergency Departments,897402,Nursing Homes,16221
    National University Hospital,2020,62272,Polyclinics,5992676,Acute Hospitals,11545
    National University Hospital,2020,62272,Polyclinics,5992676,Psychiatric Hospitals,1950
    National University Hospital,2020,62272,Polyclinics,5992676,Community Hospitals,2069
    National University Hospital,2020,62272,Polyclinics,5992676,Nursing Homes,16221
    National University Hospital,2020,62272,Dental Clinics,701924,Acute Hospitals,11545
    National University Hospital,2020,62272,Dental Clinics,701924,Psychiatric Hospitals,1950
    National University Hospital,2020,62272,Dental Clinics,701924,Community Hospitals,2069
    National University Hospital,2020,62272,Dental Clinics,701924,Nursing Homes,16221
    National University Hospital,2020,62272,Day Surgeries,313483,Acute Hospitals,11545
    National University Hospital,2020,62272,Day Surgeries,313483,Psychiatric Hospitals,1950
    National University Hospital,2020,62272,Day Surgeries,313483,Community Hospitals,2069
    National University Hospital,2020,62272,Day Surgeries,313483,Nursing Homes,16221
    Singapore General Hospital,2020,73875,Acute Hospitals Admissions,556511,Acute Hospitals,11545
    Singapore General Hospital,2020,73875,Acute Hospitals Admissions,556511,Psychiatric Hospitals,1950
    Singapore General Hospital,2020,73875,Acute Hospitals Admissions,556511,Community Hospitals,2069
    Singapore General Hospital,2020,73875,Acute Hospitals Admissions,556511,Nursing Homes,16221
    Singapore General Hospital,2020,73875,Psychiatric Hospitals Admissions,8426,Acute Hospitals,11545
    Singapore General Hospital,2020,73875,Psychiatric Hospitals Admissions,8426,Psychiatric Hospitals,1950
    Singapore General Hospital,2020,73875,Psychiatric Hospitals Admissions,8426,Community Hospitals,2069
    Singapore General Hospital,2020,73875,Psychiatric Hospitals Admissions,8426,Nursing Homes,16221
    Singapore General Hospital,2020,73875,Community Hospitals Admissions,20852,Acute Hospitals,11545
    Singapore General Hospital,2020,73875,Community Hospitals Admissions,20852,Psychiatric Hospitals,1950
    Singapore General Hospital,2020,73875,Community Hospitals Admissions,20852,Community Hospitals,2069
    Singapore General Hospital,2020,73875,Community Hospitals Admissions,20852,Nursing Homes,16221
    Singapore General Hospital,2020,73875,Specialist Outpatient Clinics,4478648,Acute Hospitals,11545
    Singapore General Hospital,2020,73875,Specialist Outpatient Clinics,4478648,Psychiatric Hospitals,1950
    Singapore General Hospital,2020,73875,Specialist Outpatient Clinics,4478648,Community Hospitals,2069
    Singapore General Hospital,2020,73875,Specialist Outpatient Clinics,4478648,Nursing Homes,16221
    Singapore General Hospital,2020,73875,Accident & Emergency Departments,897402,Acute Hospitals,11545
    Singapore General Hospital,2020,73875,Accident & Emergency Departments,897402,Psychiatric Hospitals,1950
    Singapore General Hospital,2020,73875,Accident & Emergency Departments,897402,Community Hospitals,2069
    Singapore General Hospital,2020,73875,Accident & Emergency Departments,897402,Nursing Homes,16221
    Singapore General Hospital,2020,73875,Polyclinics,5992676,Acute Hospitals,11545
    Singapore General Hospital,2020,73875,Polyclinics,5992676,Psychiatric Hospitals,1950
    Singapore General Hospital,2020,73875,Polyclinics,5992676,Community Hospitals,2069
    Singapore General Hospital,2020,73875,Polyclinics,5992676,Nursing Homes,16221
    Singapore General Hospital,2020,73875,Dental Clinics,701924,Acute Hospitals,11545
    Singapore General Hospital,2020,73875,Dental Clinics,701924,Psychiatric Hospitals,1950
    Singapore General Hospital,2020,73875,Dental Clinics,701924,Community Hospitals,2069
    Singapore General Hospital,2020,73875,Dental Clinics,701924,Nursing Homes,16221
    Singapore General Hospital,2020,73875,Day Surgeries,313483,Acute Hospitals,11545
    Singapore General Hospital,2020,73875,Day Surgeries,313483,Psychiatric Hospitals,1950
    Singapore General Hospital,2020,73875,Day Surgeries,313483,Community Hospitals,2069
    Singapore General Hospital,2020,73875,Day Surgeries,313483,Nursing Homes,16221
    Tan Tock Seng Hospital,2020,49976,Acute Hospitals Admissions,556511,Acute Hospitals,11545
    Tan Tock Seng Hospital,2020,49976,Acute Hospitals Admissions,556511,Psychiatric Hospitals,1950
    Tan Tock Seng Hospital,2020,49976,Acute Hospitals Admissions,556511,Community Hospitals,2069
    Tan Tock Seng Hospital,2020,49976,Acute Hospitals Admissions,556511,Nursing Homes,16221
    Tan Tock Seng Hospital,2020,49976,Psychiatric Hospitals Admissions,8426,Acute Hospitals,11545
    Tan Tock Seng Hospital,2020,49976,Psychiatric Hospitals Admissions,8426,Psychiatric Hospitals,1950
    Tan Tock Seng Hospital,2020,49976,Psychiatric Hospitals Admissions,8426,Community Hospitals,2069
    Tan Tock Seng Hospital,2020,49976,Psychiatric Hospitals Admissions,8426,Nursing Homes,16221
    Tan Tock Seng Hospital,2020,49976,Community Hospitals Admissions,20852,Acute Hospitals,11545
    Tan Tock Seng Hospital,2020,49976,Community Hospitals Admissions,20852,Psychiatric Hospitals,1950
    Tan Tock Seng Hospital,2020,49976,Community Hospitals Admissions,20852,Community Hospitals,2069
    Tan Tock Seng Hospital,2020,49976,Community Hospitals Admissions,20852,Nursing Homes,16221
    Tan Tock Seng Hospital,2020,49976,Specialist Outpatient Clinics,4478648,Acute Hospitals,11545
    Tan Tock Seng Hospital,2020,49976,Specialist Outpatient Clinics,4478648,Psychiatric Hospitals,1950
    Tan Tock Seng Hospital,2020,49976,Specialist Outpatient Clinics,4478648,Community Hospitals,2069
    Tan Tock Seng Hospital,2020,49976,Specialist Outpatient Clinics,4478648,Nursing Homes,16221
    Tan Tock Seng Hospital,2020,49976,Accident & Emergency Departments,897402,Acute Hospitals,11545
    Tan Tock Seng Hospital,2020,49976,Accident & Emergency Departments,897402,Psychiatric Hospitals,1950
    Tan Tock Seng Hospital,2020,49976,Accident & Emergency Departments,897402,Community Hospitals,2069
    Tan Tock Seng Hospital,2020,49976,Accident & Emergency Departments,897402,Nursing Homes,16221
    Tan Tock Seng Hospital,2020,49976,Polyclinics,5992676,Acute Hospitals,11545
    Tan Tock Seng Hospital,2020,49976,Polyclinics,5992676,Psychiatric Hospitals,1950
    Tan Tock Seng Hospital,2020,49976,Polyclinics,5992676,Community Hospitals,2069
    Tan Tock Seng Hospital,2020,49976,Polyclinics,5992676,Nursing Homes,16221
    Tan Tock Seng Hospital,2020,49976,Dental Clinics,701924,Acute Hospitals,11545
    Tan Tock Seng Hospital,2020,49976,Dental Clinics,701924,Psychiatric Hospitals,1950
    Tan Tock Seng Hospital,2020,49976,Dental Clinics,701924,Community Hospitals,2069
    Tan Tock Seng Hospital,2020,49976,Dental Clinics,701924,Nursing Homes,16221
    Tan Tock Seng Hospital,2020,49976,Day Surgeries,313483,Acute Hospitals,11545
    Tan Tock Seng Hospital,2020,49976,Day Surgeries,313483,Psychiatric Hospitals,1950
    Tan Tock Seng Hospital,2020,49976,Day Surgeries,313483,Community Hospitals,2069
    Tan Tock Seng Hospital,2020,49976,Day Surgeries,313483,Nursing Homes,16221
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Acute Hospitals Admissions,556511,Acute Hospitals,11545
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Acute Hospitals Admissions,556511,Psychiatric Hospitals,1950
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Acute Hospitals Admissions,556511,Community Hospitals,2069
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Acute Hospitals Admissions,556511,Nursing Homes,16221
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Psychiatric Hospitals Admissions,8426,Acute Hospitals,11545
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Psychiatric Hospitals Admissions,8426,Psychiatric Hospitals,1950
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Psychiatric Hospitals Admissions,8426,Community Hospitals,2069
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Psychiatric Hospitals Admissions,8426,Nursing Homes,16221
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Community Hospitals Admissions,20852,Acute Hospitals,11545
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Community Hospitals Admissions,20852,Psychiatric Hospitals,1950
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Community Hospitals Admissions,20852,Community Hospitals,2069
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Community Hospitals Admissions,20852,Nursing Homes,16221
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Specialist Outpatient Clinics,4478648,Acute Hospitals,11545
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Specialist Outpatient Clinics,4478648,Psychiatric Hospitals,1950
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Specialist Outpatient Clinics,4478648,Community Hospitals,2069
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Specialist Outpatient Clinics,4478648,Nursing Homes,16221
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Accident & Emergency Departments,897402,Acute Hospitals,11545
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Accident & Emergency Departments,897402,Psychiatric Hospitals,1950
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Accident & Emergency Departments,897402,Community Hospitals,2069
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Accident & Emergency Departments,897402,Nursing Homes,16221
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Polyclinics,5992676,Acute Hospitals,11545
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Polyclinics,5992676,Psychiatric Hospitals,1950
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Polyclinics,5992676,Community Hospitals,2069
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Polyclinics,5992676,Nursing Homes,16221
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Dental Clinics,701924,Acute Hospitals,11545
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Dental Clinics,701924,Psychiatric Hospitals,1950
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Dental Clinics,701924,Community Hospitals,2069
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Dental Clinics,701924,Nursing Homes,16221
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Day Surgeries,313483,Acute Hospitals,11545
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Day Surgeries,313483,Psychiatric Hospitals,1950
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Day Surgeries,313483,Community Hospitals,2069
    Institute Of Mental Health / Woodbridge Hospital,2020,8426,Day Surgeries,313483,Nursing Homes,16221
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Acute Hospitals Admissions,556511,Acute Hospitals,11545
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Acute Hospitals Admissions,556511,Psychiatric Hospitals,1950
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Acute Hospitals Admissions,556511,Community Hospitals,2069
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Acute Hospitals Admissions,556511,Nursing Homes,16221
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Psychiatric Hospitals Admissions,8426,Acute Hospitals,11545
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Psychiatric Hospitals Admissions,8426,Psychiatric Hospitals,1950
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Psychiatric Hospitals Admissions,8426,Community Hospitals,2069
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Psychiatric Hospitals Admissions,8426,Nursing Homes,16221
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Community Hospitals Admissions,20852,Acute Hospitals,11545
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Community Hospitals Admissions,20852,Psychiatric Hospitals,1950
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Community Hospitals Admissions,20852,Community Hospitals,2069
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Community Hospitals Admissions,20852,Nursing Homes,16221
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Specialist Outpatient Clinics,4478648,Acute Hospitals,11545
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Specialist Outpatient Clinics,4478648,Psychiatric Hospitals,1950
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Specialist Outpatient Clinics,4478648,Community Hospitals,2069
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Specialist Outpatient Clinics,4478648,Nursing Homes,16221
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Accident & Emergency Departments,897402,Acute Hospitals,11545
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Accident & Emergency Departments,897402,Psychiatric Hospitals,1950
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Accident & Emergency Departments,897402,Community Hospitals,2069
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Accident & Emergency Departments,897402,Nursing Homes,16221
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Polyclinics,5992676,Acute Hospitals,11545
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Polyclinics,5992676,Psychiatric Hospitals,1950
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Polyclinics,5992676,Community Hospitals,2069
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Polyclinics,5992676,Nursing Homes,16221
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Dental Clinics,701924,Acute Hospitals,11545
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Dental Clinics,701924,Psychiatric Hospitals,1950
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Dental Clinics,701924,Community Hospitals,2069
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Dental Clinics,701924,Nursing Homes,16221
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Day Surgeries,313483,Acute Hospitals,11545
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Day Surgeries,313483,Psychiatric Hospitals,1950
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Day Surgeries,313483,Community Hospitals,2069
    Kandang Kerbau Women's & Children's Hospital,2020,61391,Day Surgeries,313483,Nursing Homes,16221
Public Sector Hospital Admissions,2021,461153,Acute Hospitals Admissions,566790,Acute Hospitals,11704
Public Sector Hospital Admissions,2021,461153,Acute Hospitals Admissions,566790,Psychiatric Hospitals,1950
Public Sector Hospital Admissions,2021,461153,Acute Hospitals Admissions,566790,Community Hospitals,2011
Public Sector Hospital Admissions,2021,461153,Acute Hospitals Admissions,566790,Nursing Homes,17064
Public Sector Hospital Admissions,2021,461153,Psychiatric Hospitals Admissions,8226,Acute Hospitals,11704
Public Sector Hospital Admissions,2021,461153,Psychiatric Hospitals Admissions,8226,Psychiatric Hospitals,1950
Public Sector Hospital Admissions,2021,461153,Psychiatric Hospitals Admissions,8226,Community Hospitals,2011
Public Sector Hospital Admissions,2021,461153,Psychiatric Hospitals Admissions,8226,Nursing Homes,17064
Public Sector Hospital Admissions,2021,461153,Community Hospitals Admissions,21207,Acute Hospitals,11704
Public Sector Hospital Admissions,2021,461153,Community Hospitals Admissions,21207,Psychiatric Hospitals,1950
Public Sector Hospital Admissions,2021,461153,Community Hospitals Admissions,21207,Community Hospitals,2011
Public Sector Hospital Admissions,2021,461153,Community Hospitals Admissions,21207,Nursing Homes,17064
Public Sector Hospital Admissions,2021,461153,Specialist Outpatient Clinics,5218526,Acute Hospitals,11704
Public Sector Hospital Admissions,2021,461153,Specialist Outpatient Clinics,5218526,Psychiatric Hospitals,1950
Public Sector Hospital Admissions,2021,461153,Specialist Outpatient Clinics,5218526,Community Hospitals,2011
Public Sector Hospital Admissions,2021,461153,Specialist Outpatient Clinics,5218526,Nursing Homes,17064
Public Sector Hospital Admissions,2021,461153,Accident & Emergency Departments,889087,Acute Hospitals,11704
Public Sector Hospital Admissions,2021,461153,Accident & Emergency Departments,889087,Psychiatric Hospitals,1950
Public Sector Hospital Admissions,2021,461153,Accident & Emergency Departments,889087,Community Hospitals,2011
Public Sector Hospital Admissions,2021,461153,Accident & Emergency Departments,889087,Nursing Homes,17064
Public Sector Hospital Admissions,2021,461153,Polyclinics,6200710,Acute Hospitals,11704
Public Sector Hospital Admissions,2021,461153,Polyclinics,6200710,Psychiatric Hospitals,1950
Public Sector Hospital Admissions,2021,461153,Polyclinics,6200710,Community Hospitals,2011
Public Sector Hospital Admissions,2021,461153,Polyclinics,6200710,Nursing Homes,17064
Public Sector Hospital Admissions,2021,461153,Dental Clinics,926026,Acute Hospitals,11704
Public Sector Hospital Admissions,2021,461153,Dental Clinics,926026,Psychiatric Hospitals,1950
Public Sector Hospital Admissions,2021,461153,Dental Clinics,926026,Community Hospitals,2011
Public Sector Hospital Admissions,2021,461153,Dental Clinics,926026,Nursing Homes,17064
Public Sector Hospital Admissions,2021,461153,Day Surgeries,396847,Acute Hospitals,11704
Public Sector Hospital Admissions,2021,461153,Day Surgeries,396847,Psychiatric Hospitals,1950
Public Sector Hospital Admissions,2021,461153,Day Surgeries,396847,Community Hospitals,2011
Public Sector Hospital Admissions,2021,461153,Day Surgeries,396847,Nursing Homes,17064
    National University Hospital,2021,65536,Acute Hospitals Admissions,566790,Acute Hospitals,11704
    National University Hospital,2021,65536,Acute Hospitals Admissions,566790,Psychiatric Hospitals,1950
    National University Hospital,2021,65536,Acute Hospitals Admissions,566790,Community Hospitals,2011
    National University Hospital,2021,65536,Acute Hospitals Admissions,566790,Nursing Homes,17064
    National University Hospital,2021,65536,Psychiatric Hospitals Admissions,8226,Acute Hospitals,11704
    National University Hospital,2021,65536,Psychiatric Hospitals Admissions,8226,Psychiatric Hospitals,1950
    National University Hospital,2021,65536,Psychiatric Hospitals Admissions,8226,Community Hospitals,2011
    National University Hospital,2021,65536,Psychiatric Hospitals Admissions,8226,Nursing Homes,17064
    National University Hospital,2021,65536,Community Hospitals Admissions,21207,Acute Hospitals,11704
    National University Hospital,2021,65536,Community Hospitals Admissions,21207,Psychiatric Hospitals,1950
    National University Hospital,2021,65536,Community Hospitals Admissions,21207,Community Hospitals,2011
    National University Hospital,2021,65536,Community Hospitals Admissions,21207,Nursing Homes,17064
    National University Hospital,2021,65536,Specialist Outpatient Clinics,5218526,Acute Hospitals,11704
    National University Hospital,2021,65536,Specialist Outpatient Clinics,5218526,Psychiatric Hospitals,1950
    National University Hospital,2021,65536,Specialist Outpatient Clinics,5218526,Community Hospitals,2011
    National University Hospital,2021,65536,Specialist Outpatient Clinics,5218526,Nursing Homes,17064
    National University Hospital,2021,65536,Accident & Emergency Departments,889087,Acute Hospitals,11704
    National University Hospital,2021,65536,Accident & Emergency Departments,889087,Psychiatric Hospitals,1950
    National University Hospital,2021,65536,Accident & Emergency Departments,889087,Community Hospitals,2011
    National University Hospital,2021,65536,Accident & Emergency Departments,889087,Nursing Homes,17064
    National University Hospital,2021,65536,Polyclinics,6200710,Acute Hospitals,11704
    National University Hospital,2021,65536,Polyclinics,6200710,Psychiatric Hospitals,1950
    National University Hospital,2021,65536,Polyclinics,6200710,Community Hospitals,2011
    National University Hospital,2021,65536,Polyclinics,6200710,Nursing Homes,17064
    National University Hospital,2021,65536,Dental Clinics,926026,Acute Hospitals,11704
    National University Hospital,2021,65536,Dental Clinics,926026,Psychiatric Hospitals,1950
    National University Hospital,2021,65536,Dental Clinics,926026,Community Hospitals,2011
    National University Hospital,2021,65536,Dental Clinics,926026,Nursing Homes,17064
    National University Hospital,2021,65536,Day Surgeries,396847,Acute Hospitals,11704
    National University Hospital,2021,65536,Day Surgeries,396847,Psychiatric Hospitals,1950
    National University Hospital,2021,65536,Day Surgeries,396847,Community Hospitals,2011
    National University Hospital,2021,65536,Day Surgeries,396847,Nursing Homes,17064
    Singapore General Hospital,2021,73324,Acute Hospitals Admissions,566790,Acute Hospitals,11704
    Singapore General Hospital,2021,73324,Acute Hospitals Admissions,566790,Psychiatric Hospitals,1950
    Singapore General Hospital,2021,73324,Acute Hospitals Admissions,566790,Community Hospitals,2011
    Singapore General Hospital,2021,73324,Acute Hospitals Admissions,566790,Nursing Homes,17064
    Singapore General Hospital,2021,73324,Psychiatric Hospitals Admissions,8226,Acute Hospitals,11704
    Singapore General Hospital,2021,73324,Psychiatric Hospitals Admissions,8226,Psychiatric Hospitals,1950
    Singapore General Hospital,2021,73324,Psychiatric Hospitals Admissions,8226,Community Hospitals,2011
    Singapore General Hospital,2021,73324,Psychiatric Hospitals Admissions,8226,Nursing Homes,17064
    Singapore General Hospital,2021,73324,Community Hospitals Admissions,21207,Acute Hospitals,11704
    Singapore General Hospital,2021,73324,Community Hospitals Admissions,21207,Psychiatric Hospitals,1950
    Singapore General Hospital,2021,73324,Community Hospitals Admissions,21207,Community Hospitals,2011
    Singapore General Hospital,2021,73324,Community Hospitals Admissions,21207,Nursing Homes,17064
    Singapore General Hospital,2021,73324,Specialist Outpatient Clinics,5218526,Acute Hospitals,11704
    Singapore General Hospital,2021,73324,Specialist Outpatient Clinics,5218526,Psychiatric Hospitals,1950
    Singapore General Hospital,2021,73324,Specialist Outpatient Clinics,5218526,Community Hospitals,2011
    Singapore General Hospital,2021,73324,Specialist Outpatient Clinics,5218526,Nursing Homes,17064
    Singapore General Hospital,2021,73324,Accident & Emergency Departments,889087,Acute Hospitals,11704
    Singapore General Hospital,2021,73324,Accident & Emergency Departments,889087,Psychiatric Hospitals,1950
    Singapore General Hospital,2021,73324,Accident & Emergency Departments,889087,Community Hospitals,2011
    Singapore General Hospital,2021,73324,Accident & Emergency Departments,889087,Nursing Homes,17064
    Singapore General Hospital,2021,73324,Polyclinics,6200710,Acute Hospitals,11704
    Singapore General Hospital,2021,73324,Polyclinics,6200710,Psychiatric Hospitals,1950
    Singapore General Hospital,2021,73324,Polyclinics,6200710,Community Hospitals,2011
    Singapore General Hospital,2021,73324,Polyclinics,6200710,Nursing Homes,17064
    Singapore General Hospital,2021,73324,Dental Clinics,926026,Acute Hospitals,11704
    Singapore General Hospital,2021,73324,Dental Clinics,926026,Psychiatric Hospitals,1950
    Singapore General Hospital,2021,73324,Dental Clinics,926026,Community Hospitals,2011
    Singapore General Hospital,2021,73324,Dental Clinics,926026,Nursing Homes,17064
    Singapore General Hospital,2021,73324,Day Surgeries,396847,Acute Hospitals,11704
    Singapore General Hospital,2021,73324,Day Surgeries,396847,Psychiatric Hospitals,1950
    Singapore General Hospital,2021,73324,Day Surgeries,396847,Community Hospitals,2011
    Singapore General Hospital,2021,73324,Day Surgeries,396847,Nursing Homes,17064
    Tan Tock Seng Hospital,2021,46597,Acute Hospitals Admissions,566790,Acute Hospitals,11704
    Tan Tock Seng Hospital,2021,46597,Acute Hospitals Admissions,566790,Psychiatric Hospitals,1950
    Tan Tock Seng Hospital,2021,46597,Acute Hospitals Admissions,566790,Community Hospitals,2011
    Tan Tock Seng Hospital,2021,46597,Acute Hospitals Admissions,566790,Nursing Homes,17064
    Tan Tock Seng Hospital,2021,46597,Psychiatric Hospitals Admissions,8226,Acute Hospitals,11704
    Tan Tock Seng Hospital,2021,46597,Psychiatric Hospitals Admissions,8226,Psychiatric Hospitals,1950
    Tan Tock Seng Hospital,2021,46597,Psychiatric Hospitals Admissions,8226,Community Hospitals,2011
    Tan Tock Seng Hospital,2021,46597,Psychiatric Hospitals Admissions,8226,Nursing Homes,17064
    Tan Tock Seng Hospital,2021,46597,Community Hospitals Admissions,21207,Acute Hospitals,11704
    Tan Tock Seng Hospital,2021,46597,Community Hospitals Admissions,21207,Psychiatric Hospitals,1950
    Tan Tock Seng Hospital,2021,46597,Community Hospitals Admissions,21207,Community Hospitals,2011
    Tan Tock Seng Hospital,2021,46597,Community Hospitals Admissions,21207,Nursing Homes,17064
    Tan Tock Seng Hospital,2021,46597,Specialist Outpatient Clinics,5218526,Acute Hospitals,11704
    Tan Tock Seng Hospital,2021,46597,Specialist Outpatient Clinics,5218526,Psychiatric Hospitals,1950
    Tan Tock Seng Hospital,2021,46597,Specialist Outpatient Clinics,5218526,Community Hospitals,2011
    Tan Tock Seng Hospital,2021,46597,Specialist Outpatient Clinics,5218526,Nursing Homes,17064
    Tan Tock Seng Hospital,2021,46597,Accident & Emergency Departments,889087,Acute Hospitals,11704
    Tan Tock Seng Hospital,2021,46597,Accident & Emergency Departments,889087,Psychiatric Hospitals,1950
    Tan Tock Seng Hospital,2021,46597,Accident & Emergency Departments,889087,Community Hospitals,2011
    Tan Tock Seng Hospital,2021,46597,Accident & Emergency Departments,889087,Nursing Homes,17064
    Tan Tock Seng Hospital,2021,46597,Polyclinics,6200710,Acute Hospitals,11704
    Tan Tock Seng Hospital,2021,46597,Polyclinics,6200710,Psychiatric Hospitals,1950
    Tan Tock Seng Hospital,2021,46597,Polyclinics,6200710,Community Hospitals,2011
    Tan Tock Seng Hospital,2021,46597,Polyclinics,6200710,Nursing Homes,17064
    Tan Tock Seng Hospital,2021,46597,Dental Clinics,926026,Acute Hospitals,11704
    Tan Tock Seng Hospital,2021,46597,Dental Clinics,926026,Psychiatric Hospitals,1950
    Tan Tock Seng Hospital,2021,46597,Dental Clinics,926026,Community Hospitals,2011
    Tan Tock Seng Hospital,2021,46597,Dental Clinics,926026,Nursing Homes,17064
    Tan Tock Seng Hospital,2021,46597,Day Surgeries,396847,Acute Hospitals,11704
    Tan Tock Seng Hospital,2021,46597,Day Surgeries,396847,Psychiatric Hospitals,1950
    Tan Tock Seng Hospital,2021,46597,Day Surgeries,396847,Community Hospitals,2011
    Tan Tock Seng Hospital,2021,46597,Day Surgeries,396847,Nursing Homes,17064
